Episode,Loss,Epsilon,WinRandom,WinChampion
2700,0.3677,0.9514,,
2750,0.3581,0.9505,,
2750,0.3581,0.9505,99.0%,
2800,0.4708,0.9496,,
2850,0.6146,0.9487,,
2900,0.6413,0.9478,,
2950,0.4738,0.9469,,
3000,0.4167,0.9460,,
50,0.3874,0.9991,,
100,0.3637,0.9982,,
150,0.4789,0.9973,,
200,0.6750,0.9964,,
250,0.5590,0.9955,,
250,0.5590,0.9955,98.0%,
300,0.3516,0.9946,,
350,0.3913,0.9937,,
400,0.4893,0.9928,,
450,0.4730,0.9919,,
500,0.3990,0.9910,,
50,0.5746,0.9991,,
100,0.5759,0.9982,,
150,0.5003,0.9973,,
50,0.6005,0.9991,,
100,0.6123,0.9982,,
80050,0.6175,0.1000,,
80100,0.6502,0.1000,,
80150,0.7937,0.1000,,
80200,0.7469,0.1000,,
80250,0.5569,0.1000,,
80250,0.5569,0.1000,98.0%,
80300,0.4302,0.1000,,
80350,0.4084,0.1000,,
80400,0.4403,0.1000,,
80450,0.3827,0.1000,,
80500,0.3604,0.1000,,
80500,0.3604,0.1000,85.0%,
80550,0.4943,0.1000,,
80600,0.5663,0.1000,,
80650,0.5269,0.1000,,
80700,0.5260,0.1000,,
80750,0.5973,0.1000,,
80750,0.5973,0.1000,96.0%,
80800,0.5281,0.1000,,
80850,0.4699,0.1000,,
80900,0.5895,0.1000,,
80950,0.6324,0.1000,,
81000,0.5258,0.1000,,
81000,0.5258,0.1000,95.0%,
81000,0.5258,0.1000,,Promoted
81050,0.5166,0.1000,,
81100,0.5752,0.1000,,
81150,0.5520,0.1000,,
81200,0.4913,0.1000,,
81250,0.5391,0.1000,,
81250,0.5391,0.1000,71.0%,
81300,0.6099,0.1000,,
81350,0.6258,0.1000,,
81400,0.6632,0.1000,,
81450,0.8243,0.1000,,
81500,0.8902,0.1000,,
81500,0.8902,0.1000,92.0%,
81550,0.5888,0.1000,,
81600,0.5537,0.1000,,
81650,0.5332,0.1000,,
81700,0.4708,0.1000,,
81750,0.4417,0.1000,,
81750,0.4417,0.1000,98.0%,
81800,0.4421,0.1000,,
81850,0.5733,0.1000,,
81900,0.6177,0.1000,,
81950,0.6212,0.1000,,
82000,0.5867,0.1000,,
82000,0.5867,0.1000,97.0%,
82000,0.5867,0.1000,,Failed
82050,0.5345,0.1000,,
82100,0.6952,0.1000,,
82150,0.6551,0.1000,,
82200,0.6287,0.1000,,
82250,0.6976,0.1000,,
82250,0.6976,0.1000,85.0%,
82300,0.6232,0.1000,,
82350,0.5771,0.1000,,
82400,0.4269,0.1000,,
82450,0.6601,0.1000,,
82500,0.6943,0.1000,,
82500,0.6943,0.1000,94.0%,
82550,0.5324,0.1000,,
82600,0.4981,0.1000,,
82650,0.4623,0.1000,,
82700,0.5740,0.1000,,
82750,0.5929,0.1000,,
82750,0.5929,0.1000,92.0%,
82800,0.5918,0.1000,,
82850,0.6390,0.1000,,
82900,0.6473,0.1000,,
82950,0.5663,0.1000,,
83000,0.4667,0.1000,,
83000,0.4667,0.1000,90.0%,
83000,0.4667,0.1000,,Failed
83050,0.4593,0.1000,,
83100,0.5857,0.1000,,
83150,0.5339,0.1000,,
83200,0.5199,0.1000,,
83250,0.6860,0.1000,,
83250,0.6860,0.1000,88.0%,
83300,0.6634,0.1000,,
83350,0.5568,0.1000,,
83400,0.4912,0.1000,,
83450,0.4241,0.1000,,
83500,0.4050,0.1000,,
83500,0.4050,0.1000,94.0%,
83550,0.5337,0.1000,,
83600,0.6207,0.1000,,
83650,0.6085,0.1000,,
83700,0.5025,0.1000,,
83750,0.4633,0.1000,,
83750,0.4633,0.1000,87.0%,
83800,0.7244,0.1000,,
83850,0.6873,0.1000,,
83900,0.4953,0.1000,,
83950,0.4964,0.1000,,
84000,0.5403,0.1000,,
84000,0.5403,0.1000,87.0%,
84000,0.5403,0.1000,,Failed
84050,0.5217,0.1000,,
84100,0.5156,0.1000,,
84150,0.5484,0.1000,,
84200,0.6042,0.1000,,
84250,0.6110,0.1000,,
84250,0.6110,0.1000,90.0%,
84300,0.5555,0.1000,,
84350,0.6053,0.1000,,
84400,0.5656,0.1000,,
84450,0.5874,0.1000,,
84500,0.7160,0.1000,,
84500,0.7160,0.1000,97.0%,
84550,0.6543,0.1000,,
84600,0.7304,0.1000,,
84650,0.6616,0.1000,,
84700,0.4855,0.1000,,
84750,0.7822,0.1000,,
84750,0.7822,0.1000,95.0%,
84800,0.6636,0.1000,,
84850,0.4475,0.1000,,
84900,0.4885,0.1000,,
84950,0.4955,0.1000,,
85000,0.4682,0.1000,,
85000,0.4682,0.1000,94.0%,
85000,0.4682,0.1000,,Failed
85050,0.3982,0.1000,,
85100,0.5507,0.1000,,
85150,0.5340,0.1000,,
85200,0.4163,0.1000,,
85250,0.3939,0.1000,,
85250,0.3939,0.1000,91.0%,
85300,0.6022,0.1000,,
85350,0.7678,0.1000,,
85400,0.7342,0.1000,,
85450,0.7720,0.1000,,
85500,0.5619,0.1000,,
85500,0.5619,0.1000,92.0%,
85550,0.5277,0.1000,,
85600,0.6141,0.1000,,
85650,0.4782,0.1000,,
85700,0.4733,0.1000,,
85750,0.5854,0.1000,,
85750,0.5854,0.1000,95.0%,
85800,0.5818,0.1000,,
85850,0.4218,0.1000,,
85900,0.3453,0.1000,,
85950,0.4134,0.1000,,
86000,0.4886,0.1000,,
86000,0.4886,0.1000,95.0%,
86000,0.4886,0.1000,,Failed
86050,0.4270,0.1000,,
86100,0.3679,0.1000,,
86150,0.5053,0.1000,,
86200,0.4880,0.1000,,
86250,0.3670,0.1000,,
86250,0.3670,0.1000,98.0%,
86300,0.3875,0.1000,,
86350,0.5526,0.1000,,
86400,0.5266,0.1000,,
86450,0.4569,0.1000,,
86500,0.6378,0.1000,,
86500,0.6378,0.1000,96.0%,
86550,0.5820,0.1000,,
86600,0.4634,0.1000,,
86650,0.5908,0.1000,,
86700,0.6497,0.1000,,
86750,0.4998,0.1000,,
86750,0.4998,0.1000,93.0%,
86800,0.4988,0.1000,,
86850,0.5515,0.1000,,
86900,0.5123,0.1000,,
86950,0.6961,0.1000,,
87000,0.6818,0.1000,,
87000,0.6818,0.1000,83.0%,
87000,0.6818,0.1000,,Failed
87050,0.5002,0.1000,,
87100,0.4070,0.1000,,
87150,0.4982,0.1000,,
87200,0.6116,0.1000,,
87250,0.4943,0.1000,,
87250,0.4943,0.1000,89.0%,
87300,0.4835,0.1000,,
87350,0.4726,0.1000,,
87400,0.4811,0.1000,,
87450,0.3687,0.1000,,
87500,0.3668,0.1000,,
87500,0.3668,0.1000,92.0%,
87550,0.7672,0.1000,,
87600,0.9049,0.1000,,
87650,0.6456,0.1000,,
87700,0.6066,0.1000,,
87750,0.6742,0.1000,,
87750,0.6742,0.1000,94.0%,
87800,0.6653,0.1000,,
87850,0.7453,0.1000,,
87900,0.7641,0.1000,,
87950,0.6476,0.1000,,
88000,0.6073,0.1000,,
88000,0.6073,0.1000,89.0%,
88000,0.6073,0.1000,,Failed
50,0.7034,0.9991,,
100,0.6534,0.9982,,
150,0.6625,0.9973,,
81050,0.3276,0.1000,,
81100,0.5853,0.1000,,
81150,0.6072,0.1000,,
81200,0.4520,0.1000,,
81250,0.5534,0.1000,,
81250,0.5534,0.1000,100.0%,
81300,0.6742,0.1000,,
81350,0.7127,0.1000,,
81400,0.6343,0.1000,,
81450,0.5095,0.1000,,
81500,0.5104,0.1000,,
81500,0.5104,0.1000,100.0%,
81550,0.5710,0.1000,,
81600,0.5595,0.1000,,
81650,0.4669,0.1000,,
81700,0.5304,0.1000,,
81750,0.5584,0.1000,,
81750,0.5584,0.1000,83.0%,
81800,0.4674,0.1000,,
81850,0.5228,0.1000,,
81900,0.5497,0.1000,,
81950,0.6018,0.1000,,
82000,0.6168,0.1000,,
82000,0.6168,0.1000,95.0%,
82000,0.6168,0.1000,,Failed
82050,0.5394,0.1000,,
82100,0.5530,0.1000,,
